2026-07-31 18:27:00,499 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:27:00,916 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-31 18:27:01,161 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:27:04,287 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:27:05,020 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-31 18:27:05,034 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:27:05,513 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:27:06,068 | INFO | aiforge.rag.vector_store | Initialized ChromaDB collection: 'aiforge_knowledge'
2026-07-31 18:27:06,069 | INFO | aiforge.rag.loader | Loaded 5 document(s) from 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\data\docs'
2026-07-31 18:27:06,069 | INFO | aiforge.rag.splitter | Split 5 document(s) into 5 chunk(s)
2026-07-31 18:27:06,240 | INFO | aiforge.rag.vector_store | VectorStore added 5 chunk(s) to 'aiforge_knowledge'
2026-07-31 18:27:06,240 | INFO | aiforge.rag.knowledge_base | KnowledgeBase successfully indexed 5 docs (5 chunks)
2026-07-31 18:27:06,267 | INFO | aiforge.rag.vectordb | Initialized persistent ChromaDB collection 'project_documents' at 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\vector_store'
2026-07-31 18:27:06,269 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:27:06,735 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:27:09,722 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:27:10,411 | INFO | aiforge.rag.vector_store | Initialized ChromaDB collection: 'aiforge_knowledge'
2026-07-31 18:27:10,413 | INFO | aiforge.rag.loader | Loaded 5 document(s) from 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\data\docs'
2026-07-31 18:27:10,413 | INFO | aiforge.rag.splitter | Split 5 document(s) into 5 chunk(s)
2026-07-31 18:27:10,674 | INFO | aiforge.rag.vector_store | VectorStore added 5 chunk(s) to 'aiforge_knowledge'
2026-07-31 18:27:10,674 | INFO | aiforge.rag.knowledge_base | KnowledgeBase successfully indexed 5 docs (5 chunks)
2026-07-31 18:27:10,697 | INFO | aiforge.rag.vectordb | Initialized persistent ChromaDB collection 'project_documents' at 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\vector_store'
2026-07-31 18:27:10,699 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:27:11,124 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:27:11,158 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:27:11,190 | INFO | aiforge.graph.workflow | Compiled LangGraph Autonomous Software Engineering Company Workflow Graph successfully.
2026-07-31 18:27:13,732 | INFO | aiforge.plugins.manager | PluginManager: Discovered and loaded installed plugins into active registry.
2026-07-31 18:27:14,497 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:14,573 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:14,645 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:14,677 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:14,716 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:14,742 | INFO | aiforge.workspace | WorkspaceStateManager: Active project set to 'proj_ecommerce'
2026-07-31 18:27:14,770 | WARNING | aiforge.project_manager | Logged backlog bug: 'CORS wildcard config' (Severity: High)
2026-07-31 18:27:14,770 | INFO | aiforge.project_manager | Recorded SRE ADR decision: 'Auth Mechanism' -> JWT Stateless Tokens (Accepted)
2026-07-31 18:27:14,883 | INFO | aiforge.communication.events | EventDispatcher: [TASK_ASSIGNED] Published by 'Planner Agent'
2026-07-31 18:27:14,884 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502634883_d23a' from 'Planner Agent' to 'Architect Agent'
2026-07-31 18:27:14,884 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Architect Agent'
2026-07-31 18:27:14,884 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502634883_98df' from 'Architect Agent' to 'Frontend Agent'
2026-07-31 18:27:14,885 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Backend Agent'
2026-07-31 18:27:14,885 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502634883_0a44' from 'Backend Agent' to 'Database Agent'
2026-07-31 18:27:14,885 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Testing Agent'
2026-07-31 18:27:14,885 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502634883_6b80' from 'Testing Agent' to 'Backend Agent'
2026-07-31 18:27:14,886 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Reviewer Agent'
2026-07-31 18:27:14,886 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502634883_5be8' from 'Reviewer Agent' to 'Frontend Agent'
2026-07-31 18:27:15,573 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:27:15,611 | INFO | aiforge.graph.workflow | Compiled LangGraph Autonomous Software Engineering Company Workflow Graph successfully.
2026-07-31 18:27:15,673 | INFO | aiforge.sre | SRE background task scheduler started successfully.
2026-07-31 18:27:15,707 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:17,852 | INFO | aiforge.plugins.manager | PluginManager: Discovered and loaded installed plugins into active registry.
2026-07-31 18:27:18,386 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,440 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,506 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,544 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,596 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,641 | INFO | aiforge.workspace | WorkspaceStateManager: Active project set to 'proj_ecommerce'
2026-07-31 18:27:18,693 | WARNING | aiforge.project_manager | Logged backlog bug: 'CORS wildcard config' (Severity: High)
2026-07-31 18:27:18,693 | INFO | aiforge.project_manager | Recorded SRE ADR decision: 'Auth Mechanism' -> JWT Stateless Tokens (Accepted)
2026-07-31 18:27:18,862 | INFO | aiforge.communication.events | EventDispatcher: [TASK_ASSIGNED] Published by 'Planner Agent'
2026-07-31 18:27:18,862 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638861_05ca' from 'Planner Agent' to 'Architect Agent'
2026-07-31 18:27:18,863 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Architect Agent'
2026-07-31 18:27:18,863 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638861_1710' from 'Architect Agent' to 'Frontend Agent'
2026-07-31 18:27:18,863 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Backend Agent'
2026-07-31 18:27:18,864 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638862_4910' from 'Backend Agent' to 'Database Agent'
2026-07-31 18:27:18,864 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Testing Agent'
2026-07-31 18:27:18,864 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638862_80be' from 'Testing Agent' to 'Backend Agent'
2026-07-31 18:27:18,865 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Reviewer Agent'
2026-07-31 18:27:18,865 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638862_4e77' from 'Reviewer Agent' to 'Frontend Agent'
2026-07-31 18:27:20,761 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:25,812 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:30,863 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:35,907 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:40,950 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:46,002 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:51,088 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:56,138 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:01,185 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:06,237 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:11,285 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:16,354 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:21,411 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:26,469 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:31,528 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:36,583 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:41,644 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:58,698 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:28:59,091 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-31 18:28:59,340 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:29:03,718 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
